Base_datos;Grupo;Tabla;Columna;Tipo_dato;Descripcion
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template";"NOTE_REUSO";"NO reutilizar work_schedule";"work_schedule / work_schedule_day / work_schedule_shift = jornada contractual por dia de semana (horas base, CPM, schedule_assignment). shift_template = catalogo de turnos para celdas de malla (codigo, color, habilitacion por frente). Dominios distintos → se deja esta tabla en parametrization."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"break_type";"id";"UUID PK";"Tipos de pausa transversales (almuerzo, break, lactancia...). Reutilizable por malla y otros modulos."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"break_type";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"break_type";"code";"VARCHAR(20) NOT NULL";"UNIQUE(company_id, code)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"break_type";"name";"VARCHAR(80) NOT NULL";"Etiqueta."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"break_type";"default_minutes";"INT NULL";"Duracion sugerida."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"break_type";"paid_default";"BOOLEAN NOT NULL DEFAULT FALSE";"Si la pausa es remunerada por defecto."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"break_type";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template_break";"id";"UUID PK";"Breaks definidos en una plantilla de turno (1..N)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template_break";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template_break";"shift_template_id";"UUID NOT NULL";"FK -> shift_template.id"
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template_break";"break_type_id";"UUID NOT NULL";"FK -> break_type.id"
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template_break";"duration_minutes";"INT NOT NULL";"Minutos de esta instancia."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template_break";"paid";"BOOLEAN NOT NULL DEFAULT FALSE";"Override del default del tipo."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"shift_template_break";"sort_order";"SMALLINT NOT NULL DEFAULT 0";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"work_modality";"id";"UUID PK";"Modalidad laboral GLOBAL (presencial, remoto, hibrido). NO confundir con study_modalities."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"work_modality";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"work_modality";"code";"VARCHAR(20) NOT NULL";"UNIQUE(company_id, code)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"work_modality";"name";"VARCHAR(80) NOT NULL";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"work_modality";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"work_modality";"NOTE_REUSO";"No existe hoy";"En GRH solo hay study_modalities (estudios academicos). No hay modalidad laboral → catalogo nuevo transversal."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"id";"UUID PK";"Sitio/sede de asistencia. Catalogo transversal. NO existe hoy en parametrization ni company-admin."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"code";"VARCHAR(20) NOT NULL";"Puede ser manual o via catalog_code_sequence."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"name";"VARCHAR(120) NOT NULL";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"address";"TEXT NULL";"Direccion opcional."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"city_id";"UUID NULL";"UUID logico cities (parametrization)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"attendance_site";"NOTE";"sin attendance_site_front";"Se quito el vinculo por frente: si el frente tiene capability usa_sitio, usa el catalogo de la empresa."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"id";"UUID PK";"Etiquetas informativas (antes 'campaign'). Catalogo transversal reutilizable (tags/labels)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"code";"VARCHAR(20) NOT NULL";"UNIQUE(company_id, code)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"name";"VARCHAR(120) NOT NULL";"Ej. Campana X, Cliente Y, Proyecto Z."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"color_hex";"VARCHAR(7) NULL";"Color chip."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"category";"VARCHAR(40) NULL";"Opcional: campana | cliente | otro."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"operational_label";"NOTE";"renombra campaign";"En malla se referencia como label_id en la celda (informativo). No va en cabecera de malla (#17)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"id";"UUID PK";"Arbol territorial unico (adyacencia). Un nodo puede tener parent_id → hijos → nietos."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"parent_id";"UUID NULL";"FK -> territory.id (NULL = raiz)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"code";"VARCHAR(20) NOT NULL";"UNIQUE(company_id, code)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"name";"VARCHAR(120) NOT NULL";"Ej. Zona Norte, SPT-12."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"level_label";"VARCHAR(40) NULL";"Etiqueta libre del nivel (Zona, SPT...). Sin tabla territory_level."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"sort_order";"INT NOT NULL DEFAULT 0";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"territory";"NOTE_REUSO";"No reutilizar zone_types ni areas";"zone_types = tipificacion urbana/rural global. organizational_areas = organigrama. territory = cobertura operativa jerarquica de malla (multi-zona #10/#14)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"id";"UUID PK";"Franjas para clasificar horas (ordinaria, nocturna, dominical, festiva, extras). Transversal (malla, reportes, futuros calculos)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"company_id";"UUID NOT NULL";"Tenant."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"code";"VARCHAR(20) NOT NULL";"ORDI | NOCT | DOM | FEST | HEXA | HEXN. UNIQUE(company_id, code)"
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"name";"VARCHAR(120) NOT NULL";"Nombre reporteria."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"band_type";"VARCHAR(40) NOT NULL";"ordinaria | nocturna | dominical | festiva | extra_diurna | extra_nocturna"
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"start_time";"TIME NULL";"Inicio franja horaria."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"end_time";"TIME NULL";"Fin franja."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"crosses_midnight";"BOOLEAN NOT NULL DEFAULT FALSE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"applies_sunday";"BOOLEAN NOT NULL DEFAULT FALSE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"applies_holiday";"BOOLEAN NOT NULL DEFAULT FALSE";"Festivos: leer company_calendar / national_holidays (ya existen)."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"priority";"INT NOT NULL DEFAULT 100";"Si dos franjas solapan, gana menor priority."
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_parametrization";"Catalogos transversales (nuevos o reuso)";"hour_classification_band";"NOTE";"recargos";"Si la persona tiene varios turnos/slots el mismo dia, cada celda (slot) se clasifica contra estas franjas + festivos. No calcula nomina: solo clasifica horas para reporteria/export. Cortes de nomina NO van aqui (#6)."
"ms_parametrization";"Ya existe en GRH — solo UUID logico";"entity_status (REUSO)";"entity_type";"VARCHAR = 'malla_cell_state'";"YA EXISTE. Usar entity_status con entity_type='malla_cell_state' (o similar) para Trabajo, Descanso, VAC, INC... Tiene name, color, sort_order, is_active, is_final_status. NO crear cell_state aparte."
"ms_parametrization";"Ya existe en GRH — solo UUID logico";"entity_status (REUSO)";"como se usa";"UUID logico";"En schedule_cell.cell_state_id guardar entity_status.id. Filtrar por company_id + entity_type."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"id";"UUID PK";"Frente operativo (Contact Center, Mesa...)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"company_id";"UUID NOT NULL";"Tenant GRH (logico)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"code";"VARCHAR(20) NOT NULL";"UNIQUE(company_id, code). Via catalog_code_sequence (param)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"name";"VARCHAR(120) NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"description";"TEXT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"builder_profile_label";"VARCHAR(120) NULL";"Texto guia del perfil que arma."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"publisher_profile_label";"VARCHAR(120) NULL";"Texto guia del perfil que publica."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"separate_builder_publisher";"BOOLEAN NOT NULL DEFAULT FALSE";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"build_mode";"VARCHAR(20) NOT NULL";"manual | asistido | automatico"
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"period_type";"VARCHAR(10) NOT NULL";"semana | quincena | mes"
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"published_editable";"BOOLEAN NOT NULL DEFAULT FALSE";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"swap_enabled";"BOOLEAN NOT NULL DEFAULT FALSE";"Sin tope mensual (#16)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"created_at";"TIMESTAMPTZ NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"updated_at";"TIMESTAMPTZ NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"created_by";"UUID NULL";"user_id ms_auth."
"ms_malla_turnos";"Configuracion de frente / vinculos";"operational_front";"updated_by";"UUID NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_capability";"id";"UUID PK";"Flags: usa_territorio | usa_labels | usa_modalidad | usa_sitio | usa_multi_break | usa_multi_zona"
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_capability";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_capability";"front_id";"UUID NOT NULL";"FK -> operational_front.id"
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_capability";"capability_code";"VARCHAR(40) NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_capability";"enabled";"BOOLEAN NOT NULL DEFAULT FALSE";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_capability";"config_json";"JSONB NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_capability";"UNIQUE";"(company_id, front_id, capability_code)";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_area_link";"id";"UUID PK";"Frente ↔ areas GRH (organizational_areas)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_area_link";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_area_link";"front_id";"UUID NOT NULL";"FK -> operational_front.id"
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_area_link";"area_id";"UUID NOT NULL";"UUID logico organizational_areas."
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_area_link";"UNIQUE";"(company_id, front_id, area_id)";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_user_scope";"id";"UUID PK";"Alcance por usuario (que frentes ve). Roles → RBAC ms_auth (sin front_role_scope)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_user_scope";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_user_scope";"front_id";"UUID NOT NULL";"FK -> operational_front.id"
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_user_scope";"user_id";"UUID NOT NULL";"UUID logico ms_auth."
"ms_malla_turnos";"Configuracion de frente / vinculos";"front_user_scope";"UNIQUE";"(company_id, front_id, user_id)";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"shift_template_front";"id";"UUID PK";"Habilita plantillas de turno (param) en un frente."
"ms_malla_turnos";"Configuracion de frente / vinculos";"shift_template_front";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"shift_template_front";"front_id";"UUID NOT NULL";"FK -> operational_front.id"
"ms_malla_turnos";"Configuracion de frente / vinculos";"shift_template_front";"shift_template_id";"UUID NOT NULL";"UUID logico shift_template (param)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"shift_template_front";"UNIQUE";"(company_id, front_id, shift_template_id)";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"id";"UUID PK";"Patron de rotacion por frente (#12)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"front_id";"UUID NOT NULL";"FK -> operational_front.id"
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"code";"VARCHAR(20) NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"name";"VARCHAR(120) NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"cycle_length";"SMALLINT NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"auto_apply_on_period_close";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern";"active";"BOOLEAN NOT NULL DEFAULT TRUE";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern_step";"id";"UUID PK";"Paso del patron."
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern_step";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern_step";"pattern_id";"UUID NOT NULL";"FK -> rotation_pattern.id"
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern_step";"step_order";"SMALLINT NOT NULL";""
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern_step";"shift_template_id";"UUID NULL";"UUID logico shift_template (param)."
"ms_malla_turnos";"Configuracion de frente / vinculos";"rotation_pattern_step";"cell_state_id";"UUID NULL";"UUID logico entity_status (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"id";"UUID PK";"Cabecera de malla."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"front_id";"UUID NOT NULL";"FK -> operational_front.id"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"name";"VARCHAR(160) NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"period_start";"DATE NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"period_end";"DATE NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"period_type";"VARCHAR(10) NOT NULL";"semana | quincena | mes"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"status";"VARCHAR(20) NOT NULL";"borrador | revision | publicada | cerrada | rechazada"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"build_mode";"VARCHAR(20) NOT NULL";"manual | asistido | automatico"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"owner_user_id";"UUID NULL";"ms_auth"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"publisher_user_id";"UUID NULL";"ms_auth"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"rejection_reason";"TEXT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"published_at";"TIMESTAMPTZ NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"closed_at";"TIMESTAMPTZ NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"version";"INT NOT NULL DEFAULT 1";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"created_at";"TIMESTAMPTZ NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"updated_at";"TIMESTAMPTZ NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid";"NOTE";"sin label en cabecera";"Etiquetas van en celda (#17)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"id";"UUID PK";"Persona en la malla."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"grid_id";"UUID NOT NULL";"FK -> schedule_grid.id"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"employee_id";"UUID NOT NULL";"UUID logico ms_employee."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"sort_order";"INT NOT NULL DEFAULT 0";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"modality_id";"UUID NULL";"UUID logico work_modality (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"site_id";"UUID NULL";"UUID logico attendance_site (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person";"UNIQUE";"(grid_id, employee_id)";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person_territory";"id";"UUID PK";"Multi-zona/SPT de la persona en el periodo."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person_territory";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person_territory";"grid_person_id";"UUID NOT NULL";"FK -> schedule_grid_person.id"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person_territory";"territory_id";"UUID NOT NULL";"UUID logico territory (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person_territory";"is_primary";"BOOLEAN NOT NULL DEFAULT FALSE";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_grid_person_territory";"UNIQUE";"(grid_person_id, territory_id)";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"id";"UUID PK";"Celda persona x dia (slot 0 = principal)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"grid_id";"UUID NOT NULL";"FK -> schedule_grid.id"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"employee_id";"UUID NOT NULL";"ms_employee"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"work_date";"DATE NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"slot";"SMALLINT NOT NULL DEFAULT 0";"1+ = turno extra mismo dia."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"shift_template_id";"UUID NULL";"UUID logico shift_template (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"cell_state_id";"UUID NULL";"UUID logico entity_status (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"modality_id";"UUID NULL";"UUID logico work_modality (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"site_id";"UUID NULL";"UUID logico attendance_site (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"label_id";"UUID NULL";"UUID logico operational_label (param). Antes campaign_id."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"note";"TEXT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"locked_attrs";"JSONB NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"origin";"VARCHAR(40) NULL";"manual | rotacion | intercambio | import | novedad"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"updated_at";"TIMESTAMPTZ NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"updated_by";"UUID NULL";"ms_auth"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell";"UNIQUE";"(grid_id, employee_id, work_date, slot)";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_territory";"id";"UUID PK";"Override de territorio en la celda."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_territory";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_territory";"cell_id";"UUID NOT NULL";"FK -> schedule_cell.id"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_territory";"territory_id";"UUID NOT NULL";"UUID logico territory (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_territory";"UNIQUE";"(cell_id, territory_id)";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"id";"UUID PK";"Breaks reales de la celda (incluye especiales / repetidos #11)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"cell_id";"UUID NOT NULL";"FK -> schedule_cell.id"
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"break_type_id";"UUID NULL";"UUID logico break_type (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"template_break_id";"UUID NULL";"UUID logico shift_template_break (param)."
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"label";"VARCHAR(80) NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"duration_minutes";"INT NOT NULL";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"paid";"BOOLEAN NOT NULL DEFAULT FALSE";""
"ms_malla_turnos";"Operacion / Planificacion";"schedule_cell_break";"sort_order";"SMALLINT NOT NULL DEFAULT 0";""
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"id";"UUID PK";"Intercambio. Sin tope mensual (#16). Sin motor de reglas de cobertura/compensatorio."
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"company_id";"UUID NOT NULL";""
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"front_id";"UUID NOT NULL";"FK -> operational_front.id"
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"grid_id";"UUID NOT NULL";"FK -> schedule_grid.id"
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"requester_employee_id";"UUID NOT NULL";"ms_employee"
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"counterpart_employee_id";"UUID NOT NULL";"ms_employee"
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"requester_cell_id";"UUID NOT NULL";"FK -> schedule_cell.id"
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"counterpart_cell_id";"UUID NOT NULL";"FK -> schedule_cell.id"
"ms_malla_turnos";"Intercambio, novedades e importacion";"shift_swap_request";"status";"VARCHAR(30) NOT NULL";"pendiente_aprobacion | aprobada | rechazada | aplicada | cancelada"
